target_id	length	eff_length	est_counts	tpm
FBtr0343930	4026	3822.84	67.7805	1.45302
FBtr0070872	3389	3185.84	67.1222	1.72661
FBtr0070873	3368	3164.84	788.181	20.4093
FBtr0340032	3557	3353.84	24.7355	0.60441
FBtr0309849	1730	1526.84	55.6425	2.98653
FBtr0309851	1933	1729.84	166.372	7.88185
FBtr0309850	1813	1609.84	0	0
FBtr0309848	2040	1836.84	285.89	12.755
FBtr0309846	1745	1541.84	547.885	29.1208
FBtr0309847	1395	1191.84	1074.75	73.9
FBtr0309852	1525	1321.84	51.4565	3.19018
FBtr0072826	3804	3600.84	612.46	13.9389
FBtr0072827	3691	3487.84	179.54	4.21851
FBtr0310157	1118	914.842	5.85598	0.524575
FBtr0088052	1136	932.842	55.6147	4.8858
FBtr0088051	1139	935.842	1087.2	95.2055
FBtr0310159	1172	968.842	0	0
FBtr0088053	1203	999.842	69.3259	5.68222
FBtr0346717	952	748.842	0	0
FBtr0079891	845	641.842	138	17.62
FBtr0344474	4299	4095.84	49.4776	0.989963
FBtr0083532	4514	4310.84	493.522	9.38207
FBtr0346161	5221	5017.84	0	0
FBtr0071041	1576	1372.84	233	13.9088
FBtr0077956	2701	2497.84	1557	51.0831
FBtr0089196	4376	4172.84	1375.56	27.0147
FBtr0347405	3401	3197.84	854.848	21.9071
FBtr0347406	2744	2540.84	373.498	12.0466
FBtr0347403	2371	2167.84	1979.16	74.818
FBtr0347404	2744	2540.84	373.498	12.0466
FBtr0310632	2638	2434.84	5266.98	177.274
FBtr0073263	2209	2005.84	3421.02	139.77
FBtr0303268	3265	3061.84	0	0
FBtr0304931	2190	1986.84	33.704	1.39018
FBtr0080956	2066	1862.84	327.296	14.3985
FBtr0072921	1840	1636.84	132.439	6.63074
FBtr0344219	1882	1678.84	78.84	3.84849
FBtr0072922	1721	1517.84	0	0
FBtr0072923	1903	1699.84	155.721	7.50746
FBtr0100373	1180	976.842	6	0.503362
FBtr0303785	1569	1365.84	0	0
FBtr0088376	2115	1911.84	67.9101	2.91096
FBtr0339111	468	271.128	2	0.604517
FBtr0071106	2301	2097.84	2	0.0781288
FBtr0339337	2506	2302.84	12.4847	0.444293
FBtr0088710	2464	2260.84	615.515	22.3112
FBtr0302954	501	302.342	0	0
FBtr0110781	1248	1044.84	1	0.0784338
FBtr0075989	3238	3034.84	165.5	4.46905
FBtr0330069	3238	3034.84	165.5	4.46905
FBtr0304717	947	743.842	32	3.52552
FBtr0339472	2820	2616.84	45.3486	1.42017
FBtr0339471	2953	2749.84	420.651	12.5363
FBtr0085326	4103	3899.84	462.25	9.71368
FBtr0336764	4091	3887.84	18.7499	0.395224
FBtr0073651	2625	2421.84	139	4.70352
FBtr0334905	538	337.825	42	10.1885
FBtr0083540	1549	1345.84	10	0.608919
FBtr0342877	3401	3197.84	2471.64	63.3405
FBtr0074647	2146	1942.84	576.361	24.3115
FBtr0273265	1700	1496.84	2	0.109498
FBtr0073923	2894	2690.84	1993	60.6978
FBtr0091899	413	221.287	0	0
FBtr0078309	627	424.726	290	55.9556
FBtr0339941	1519	1315.84	12.9997	0.809625
FBtr0071880	1017	813.842	0.000276758	2.78686e-05
FBtr0076069	2148	1944.84	0	0
FBtr0085482	1927	1723.84	249	11.8374
FBtr0074901	627	424.726	138.263	26.6778
FBtr0344084	1696	1492.84	610.162	33.4954
FBtr0074900	970	766.842	2418.66	258.477
FBtr0340479	3542	3338.84	14.9709	0.367456
FBtr0071410	3153	2949.84	0	0
FBtr0071412	2528	2324.84	0	0
FBtr0307382	2729	2525.84	25.0818	0.813779
FBtr0307381	2425	2221.84	0	0
FBtr0307380	1373	1169.84	1.19783	0.0839114
FBtr0071411	2440	2236.84	35.7495	1.30975
FBtr0070980	854	650.842	8412.75	1059.29
FBtr0345292	830	626.842	275.51	36.0191
FBtr0070981	941	737.842	460.418	51.1379
FBtr0070982	1100	896.842	16.7045	1.52641
FBtr0070983	837	633.842	85.6146	11.0693
FBtr0073693	1323	1119.84	439	32.1264
