target_id	length	eff_length	est_counts	tpm
FBtr0343930	4026	3921.66	0	0
FBtr0070872	3389	3284.66	0	0
FBtr0070873	3368	3263.66	5	1.21115
FBtr0340032	3557	3452.66	0	0
FBtr0309849	1730	1625.66	0.000324203	0.00015766
FBtr0309851	1933	1828.66	0	0
FBtr0309850	1813	1708.66	0	0
FBtr0309848	2040	1935.66	6.00186	2.45127
FBtr0309846	1745	1640.66	1.01067e-07	4.86993e-08
FBtr0309847	1395	1290.66	27.9978	17.1493
FBtr0309852	1525	1420.66	0	0
FBtr0072826	3804	3699.66	0	0
FBtr0072827	3691	3586.66	18	3.96749
FBtr0310157	1118	1013.66	40	31.1961
FBtr0088052	1136	1031.66	7.63407e-06	5.84995e-06
FBtr0088051	1139	1034.66	5.94677e-07	4.54377e-07
FBtr0310159	1172	1067.66	0	0
FBtr0088053	1203	1098.66	0	0
FBtr0346717	952	847.663	0	0
FBtr0079891	845	740.663	3	3.2021
FBtr0344474	4299	4194.66	3	0.565404
FBtr0083532	4514	4409.66	0	0
FBtr0346161	5221	5116.66	0	0
FBtr0071041	1576	1471.66	7	3.76031
FBtr0077956	2701	2596.66	5	1.52226
FBtr0089196	4376	4271.66	7.17321	1.32755
FBtr0347405	3401	3296.66	0	0
FBtr0347406	2744	2639.66	0	0
FBtr0347403	2371	2266.66	3	1.04633
FBtr0347404	2744	2639.66	0	0
FBtr0310632	2638	2533.66	17.7179	5.52839
FBtr0073263	2209	2104.66	9.28208	3.48656
FBtr0303268	3265	3160.66	0	0
FBtr0304931	2190	2085.66	0	0
FBtr0080956	2066	1961.66	53	21.3592
FBtr0072921	1840	1735.66	0	0
FBtr0344219	1882	1777.66	0	0
FBtr0072922	1721	1616.66	0	0
FBtr0072923	1903	1798.66	0	0
FBtr0100373	1180	1075.66	0	0
FBtr0303785	1569	1464.66	0	0
FBtr0088376	2115	2010.66	1	0.393183
FBtr0339111	468	363.663	0	0
FBtr0071106	2301	2196.66	0	0
FBtr0339337	2506	2401.66	0	0
FBtr0088710	2464	2359.66	11	3.68534
FBtr0302954	501	396.663	0	0
FBtr0110781	1248	1143.66	1	0.691252
FBtr0075989	3238	3133.66	0.5	0.12614
FBtr0330069	3238	3133.66	0.5	0.12614
FBtr0304717	947	842.663	0	0
FBtr0339472	2820	2715.66	2.84341e-08	8.27747e-09
FBtr0339471	2953	2848.66	15	4.16279
FBtr0085326	4103	3998.66	1.39636	0.276068
FBtr0336764	4091	3986.66	19.6036	3.88742
FBtr0073651	2625	2520.66	0	0
FBtr0334905	538	433.663	0	0
FBtr0083540	1549	1444.66	0	0
FBtr0342877	3401	3296.66	34.1487	8.18906
FBtr0074647	2146	2041.66	26.8513	10.3972
FBtr0273265	1700	1595.66	0	0
FBtr0073923	2894	2789.66	19	5.38439
FBtr0091899	413	308.663	53.1175	136.046
FBtr0078309	627	522.663	6	9.07536
FBtr0339941	1519	1414.66	0	0
FBtr0071880	1017	912.663	2	1.73242
FBtr0076069	2148	2043.66	0	0
FBtr0085482	1927	1822.66	76	32.9641
FBtr0074901	627	522.663	2.56466	3.8792
FBtr0344084	1696	1591.66	0	0
FBtr0074900	970	865.663	5.72178	5.22537
FBtr0340479	3542	3437.66	0	0
FBtr0071410	3153	3048.66	0	0
FBtr0071412	2528	2423.66	0	0
FBtr0307382	2729	2624.66	0	0
FBtr0307381	2425	2320.66	0	0
FBtr0307380	1373	1268.66	0	0
FBtr0071411	2440	2335.66	0	0
FBtr0070980	854	749.663	629.556	663.9
FBtr0345292	830	725.663	0	0
FBtr0070981	941	836.663	33.444	31.6011
FBtr0070982	1100	995.663	0	0
FBtr0070983	837	732.663	0	0
FBtr0073693	1323	1218.66	36	23.3536
FBtr0074984	507	402.663	0	0
FBtr0073034	1539	1434.66	6	3.30625
FBtr0081676	887	782.663	0	0
FBtr0087334	1782	1677.66	24.9121	11.7392
FBtr0113381	1199	1094.66	3.61632	2.61169
FBtr0087113	4051	3946.66	1.21906	0.24419
FBtr0113380	4060	3955.66	0.164619	0.0329
FBtr0113379	4109	4004.66	3.28655e-06	6.48797e-07
FBtr0087112	5876	5771.66	0	0
FBtr0073899	730	625.663	9	11.372
FBtr0071302	691	586.663	1.97766	2.665
FBtr0333472	694	589.663	0.0223363	0.0299462
FBtr0086024	2202	2097.66	0	0
FBtr0083823	410	305.663	0	0
FBtr0344285	401	296.663	0	0
FBtr0087045	794	689.663	0	0
FBtr0085360	1103	998.663	7	5.54132
FBtr0073298	2744	2639.66	0	0
FBtr0307050	1716	1611.66	0	0
FBtr0343573	1987	1882.66	0	0
FBtr0076736	920	815.663	0	0
FBtr0073200	1468	1363.66	0	0
FBtr0073199	2882	2777.66	0	0
FBtr0333678	4702	4597.66	0	0
