target_id	length	eff_length	est_counts	tpm
FBtr0343930	4026	3823.14	44.3313	1.03736
FBtr0070872	3389	3186.14	79.3059	2.22679
FBtr0070873	3368	3165.14	766.661	21.6695
FBtr0340032	3557	3354.14	44.6546	1.19103
FBtr0309849	1730	1527.14	142.558	8.35126
FBtr0309851	1933	1730.14	81.7071	4.2249
FBtr0309850	1813	1610.14	66.9147	3.71789
FBtr0309848	2040	1837.14	293.29	14.2821
FBtr0309846	1745	1542.14	489.224	28.3806
FBtr0309847	1395	1192.14	973.571	73.0597
FBtr0309852	1525	1322.14	32.7358	2.21505
FBtr0072826	3804	3601.14	584.793	14.5278
FBtr0072827	3691	3488.14	263.207	6.7506
FBtr0310157	1118	915.14	7.39604	0.723019
FBtr0088052	1136	933.14	32.9188	3.15598
FBtr0088051	1139	936.14	968.218	92.5274
FBtr0310159	1172	969.14	17.1703	1.585
FBtr0088053	1203	1000.14	34.2965	3.0678
FBtr0346717	952	749.14	0	0
FBtr0079891	845	642.222	125	17.4126
FBtr0344474	4299	4096.14	10.3169	0.225327
FBtr0083532	4514	4311.14	429.683	8.91649
FBtr0346161	5221	5018.14	0	0
FBtr0071041	1576	1373.14	215	14.0075
FBtr0077956	2701	2498.14	1297.38	46.4608
FBtr0089196	4376	4173.14	1266.48	27.1503
FBtr0347405	3401	3198.14	777.332	21.7444
FBtr0347406	2744	2541.14	513.17	18.0663
FBtr0347403	2371	2168.14	1459.33	60.2149
FBtr0347404	2744	2541.14	513.17	18.0663
FBtr0310632	2638	2435.14	5057.6	185.805
FBtr0073263	2209	2006.14	3142.4	140.132
FBtr0303268	3265	3062.14	0	0
FBtr0304931	2190	1987.14	16.0931	0.724519
FBtr0080956	2066	1863.14	287.907	13.8243
FBtr0072921	1840	1637.14	121.083	6.61663
FBtr0344219	1882	1679.14	56.1784	2.99309
FBtr0072922	1721	1518.14	0	0
FBtr0072923	1903	1700.14	165.738	8.72119
FBtr0100373	1180	977.14	3	0.274664
FBtr0303785	1569	1366.14	1	0.0654851
FBtr0088376	2115	1912.14	61.6876	2.88613
FBtr0339111	468	271.209	0	0
FBtr0071106	2301	2098.14	3	0.127916
FBtr0339337	2506	2303.14	0	0
FBtr0088710	2464	2261.14	514	20.3364
FBtr0302954	501	302.341	0	0
FBtr0110781	1248	1045.14	0	0
FBtr0075989	3238	3035.14	136.5	4.02339
FBtr0330069	3238	3035.14	136.5	4.02339
FBtr0304717	947	744.183	28	3.36602
FBtr0339472	2820	2617.14	0	0
FBtr0339471	2953	2750.14	449	14.6059
FBtr0085326	4103	3900.14	411.226	9.43276
FBtr0336764	4091	3888.14	20.7736	0.477978
FBtr0073651	2625	2422.14	58	2.14223
FBtr0334905	538	337.557	15	3.97541
FBtr0083540	1549	1346.14	6	0.398748
FBtr0342877	3401	3198.14	2336.81	65.3678
FBtr0074647	2146	1943.14	465.192	21.4173
FBtr0273265	1700	1497.14	4	0.239021
FBtr0073923	2894	2691.14	1987	66.0541
FBtr0091899	413	221.394	0	0
FBtr0078309	627	424.829	281	59.1738
FBtr0339941	1519	1316.14	1	0.0679729
FBtr0071880	1017	814.14	0	0
FBtr0076069	2148	1945.14	0	0
FBtr0085482	1927	1724.14	220	11.4153
FBtr0074901	627	424.829	150.263	31.6427
FBtr0344084	1696	1493.14	630.445	37.7733
FBtr0074900	970	767.14	2201.01	256.676
FBtr0340479	3542	3339.14	65.5368	1.75585
FBtr0071410	3153	2950.14	34.7892	1.05497
FBtr0071412	2528	2325.14	0	0
FBtr0307382	2729	2526.14	2.79347	0.0989293
FBtr0307381	2425	2222.14	0	0
FBtr0307380	1373	1170.14	0	0
FBtr0071411	2440	2237.14	50.8806	2.03468
FBtr0070980	854	651.222	7574.69	1040.58
FBtr0345292	830	627.222	272.959	38.9326
FBtr0070981	941	738.183	342.701	41.5326
FBtr0070982	1100	897.14	16.3138	1.62679
FBtr0070983	837	634.222	58.3405	8.22937
FBtr0073693	1323	1120.14	423	33.7836
FBtr0074984	507	307.8	0	0
FBtr0073034	1539	1336.14	156	10.4451
FBtr0081676	887	684.222	3	0.39225
FBtr0087334	1782	1579.14	244.772	13.8669
FBtr0113381	1199	996.14	0	0
FBtr0087113	4051	3848.14	0	0
FBtr0113380	4060	3857.14	751.576	17.4319
FBtr0113379	4109	3906.14	414.336	9.4895
FBtr0087112	5876	5673.14	388.087	6.1199
FBtr0073899	730	527.41	136	23.069
FBtr0071302	691	488.467	38.809	7.10781
FBtr0333472	694	491.439	3.19097	0.580887
FBtr0086024	2202	1999.14	0	0
FBtr0083823	410	218.666	273.362	111.839
FBtr0344285	401	210.718	12.638	5.36554
FBtr0087045	794	591.257	52.1583	7.89196
FBtr0085360	1103	900.14	107	10.6344
FBtr0073298	2744	2541.14	1	0.0352054
FBtr0307050	1716	1513.14	0	0
FBtr0343573	1987	1784.14	0	0
FBtr0076736	920	717.183	111	13.8462
FBtr0073200	1468	1265.14	1.10528	0.0781574
FBtr0073199	2882	2679.14	0.947362	0.0316343
FBtr0333678	4702	4499.14	1332.17	26.4891
FBtr0089141	4575	4372.14	3415.83	69.8941
FBtr0344997	1302	1099.14	22.4314	1.82575
FBtr0344998	1204	1001.14	26.5686	2.37417
FBtr0332711	683	480.494	0	0
FBtr0078353	710	507.439	158	27.8555
FBtr0080163	761	558.257	6032.4	966.705
FBtr0340226	807	604.257	1931	285.889
FBtr0080164	798	595.257	768.605	115.514
FBtr0114603	2237	2034.14	425.54	18.7154
FBtr0345720	2361	2158.14	374.763	15.5352
FBtr0089948	2222	2019.14	0	0
FBtr0329952	2603	2400.14	27.6192	1.02947
FBtr0076344	1975	1772.14	0	0
FBtr0113159	1528	1325.14	52.9555	3.57509
FBtr0113158	2067	1864.14	913.963	43.862
FBtr0345695	2133	1930.14	672.625	31.1761
FBtr0114600	1246	1043.14	25.3923	2.1777
FBtr0085057	1025	822.14	0	0
FBtr0074036	696	493.439	116	21.0311
FBtr0086109	1829	1626.14	300	16.5045
FBtr0088163	911	708.183	1	0.126326
FBtr0301083	3920	3717.14	221.976	5.34238
