target_id	length	eff_length	est_counts	tpm
FBtr0343930	4026	3916.05	0	0
FBtr0070872	3389	3279.05	0	0
FBtr0070873	3368	3258.05	72	1.20436
FBtr0340032	3557	3447.05	0	0
FBtr0309849	1730	1620.05	0	0
FBtr0309851	1933	1823.05	0	0
FBtr0309850	1813	1703.05	0	0
FBtr0309848	2040	1930.05	2.62233	0.0740455
FBtr0309846	1745	1635.05	7.41509	0.247152
FBtr0309847	1395	1285.05	112.963	4.79064
FBtr0309852	1525	1415.05	0	0
FBtr0072826	3804	3694.05	31.0861	0.45861
FBtr0072827	3691	3581.05	613.914	9.3428
FBtr0310157	1118	1008.05	600	32.4375
FBtr0088052	1136	1026.05	6.25407e-08	3.32179e-09
FBtr0088051	1139	1029.05	0	0
FBtr0310159	1172	1062.05	0	0
FBtr0088053	1203	1093.05	0	0
FBtr0346717	952	842.055	0	0
FBtr0079891	845	735.055	45	3.33636
FBtr0344474	4299	4189.05	2.51881	0.0327687
FBtr0083532	4514	4404.05	20.4812	0.253445
FBtr0346161	5221	5111.05	0	0
FBtr0071041	1576	1466.05	33	1.22672
FBtr0077956	2701	2591.05	132	2.77637
FBtr0089196	4376	4266.05	28.8056	0.367986
FBtr0347405	3401	3291.05	5.00922	0.0829498
FBtr0347406	2744	2634.05	5.0572	0.104632
FBtr0347403	2371	2261.05	26.8764	0.647799
FBtr0347404	2744	2634.05	5.0572	0.104632
FBtr0310632	2638	2528.05	0	0
FBtr0073263	2209	2099.05	339	8.8015
FBtr0303268	3265	3155.05	3	0.0518197
FBtr0304931	2190	2080.05	22.8249	0.598019
FBtr0080956	2066	1956.05	537.175	14.9663
FBtr0072921	1840	1730.05	28.2434	0.88969
FBtr0344219	1882	1772.05	0	0
FBtr0072922	1721	1611.05	0.0908504	0.00307325
FBtr0072923	1903	1793.05	9.6657	0.293779
FBtr0100373	1180	1070.05	0	0
FBtr0303785	1569	1459.05	5	0.186758
FBtr0088376	2115	2005.05	6.08321	0.165343
FBtr0339111	468	358.055	0	0
FBtr0071106	2301	2191.05	0	0
FBtr0339337	2506	2396.05	11.878	0.270163
FBtr0088710	2464	2354.05	162.122	3.75324
FBtr0302954	501	391.055	0	0
FBtr0110781	1248	1138.05	5	0.239435
FBtr0075989	3238	3128.05	3	0.052267
FBtr0330069	3238	3128.05	3	0.052267
FBtr0304717	947	837.055	6	0.390641
FBtr0339472	2820	2710.05	151.624	3.04909
FBtr0339471	2953	2843.05	21.3764	0.40976
FBtr0085326	4103	3993.05	344	4.69498
FBtr0336764	4091	3981.05	0	0
FBtr0073651	2625	2515.05	0	0
FBtr0334905	538	428.055	0	0
FBtr0083540	1549	1439.05	3	0.113612
FBtr0342877	3401	3291.05	102.272	1.69356
FBtr0074647	2146	2036.05	1129.73	30.2388
FBtr0273265	1700	1590.05	1	0.0342743
FBtr0073923	2894	2784.05	231	4.52184
FBtr0091899	413	303.055	1020.01	183.427
FBtr0078309	627	517.055	119	12.5427
FBtr0339941	1519	1409.05	0	0
