,Unnamed: 0,L4_48hAPF,L4_60hAPF,L5_48hAPF,L5_60hAPF,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,L4_72hAPF,L5_72hAPF
107,Ptth,0.366354307,0.345953128,13.18993311,8.432623326,,,,,0.063117968,0.17874824
196,Nep2,0.186450647,0.284890246,4.130184332,4.922276762,,,,,0.0,5.756464834
377,kek1,0.646133887,1.475631719,7.709157397,3.120151819,,,,,5.733882652,5.946281571
406,CG4168,0.124847022,0.080337786,2.11824885,4.266556775,,,,,0.049375811,2.649920438
409,kek3,0.073250036,1.303628981,0.188374718,3.556090478,,,,,2.585555616,4.537605249
600,CG6959,1.173857315,1.194995228,2.041131371,6.493494109,,,,,0.484396188,3.925604137
617,Dtg,0.446718065,0.399931163,12.73801945,1.027287539,,,,,0.054997069,0.109735025
673,ND-23,1.717547754,1.820010364,2.099694115,3.057350583,,,,,2.424818946,3.520776727
697,Scp2,0.303463808,1.474595855,2.082877091,22.81649333,,,,,2.572767848,35.44865791
723,Octalpha2R,0.993275365,0.051412513,6.58500452,6.503905537,,,,,0.018951238,6.185290812
741,Hs6st,0.909351464,1.986341405,6.473459975,7.011975199,,,,,1.132065995,1.931615309
760,CG16791,0.673642591,0.890659413,3.026773898,2.514029307,,,,,1.915204242,2.86966103
776,SKIP,0.219394932,0.141318482,9.674265138,4.996555771,,,,,0.271495233,0.352686558
864,LpR1,1.093863442,1.676481836,6.104723415,1.992351125,,,,,2.374197243,1.954340825
875,RpL34a,1.725014598,1.879351617,2.56161993,3.096905814,,,,,1.845685484,2.354205664
882,Ald1,1.406535337,1.770743685,1.145788991,3.629718608,,,,,3.961890031,6.291235525
910,CG10011,0.427002857,0.435534078,1.995324914,3.714209255,,,,,0.784597971,1.839288004
975,heph,0.768469664,1.140599846,4.085665557,3.211847899,,,,,1.36486911,3.250833394
977,nolo,0.576625125,0.557788305,14.78629866,17.49307416,,,,,0.352568556,10.59885551
986,Act42A,1.826105362,1.714166463,4.100574156,1.473626576,,,,,0.936366064,0.584018945
1015,Fkbp12,1.232937512,1.677942664,4.134114364,3.815425328,,,,,3.189446019,4.363260647
1174,Pkc53E,0.608489415,1.128054036,7.858593685,3.59863509,,,,,1.060512627,0.654180393
1495,AstC-R1,0.542439812,0.064960184,3.670935216,0.074994361,,,,,0.036155056,0.056034035
1598,Muc14A,1.775189065,0.939791585,3.332942118,1.200467509,,,,,1.257840512,1.607794567
1604,CG33543,0.250822191,0.095236453,8.350928164,3.430490869,,,,,0.052650977,3.402060874
1622,ChAT,1.28502228,1.374753811,1.032340872,4.33912593,,,,,2.473613681,7.5093678
1640,Act5C,1.097037222,1.079822923,4.833992227,1.570642472,,,,,1.451908295,1.122405351
1670,Ptpmeg2,1.994009052,1.740023192,4.584654624,1.931969011,,,,,1.892420003,2.051554179
