target_id	length	eff_length	est_counts	tpm
FBtr0343930	4026	3855.33	11.9731	0.0853473
FBtr0070872	3389	3218.33	0	0
FBtr0070873	3368	3197.33	263.674	2.26634
FBtr0340032	3557	3386.33	15.6767	0.127225
FBtr0309849	1730	1559.33	121.84	2.14733
FBtr0309851	1933	1762.33	18.2842	0.285124
FBtr0309850	1813	1642.33	27.131	0.453994
FBtr0309848	2040	1869.33	268.859	3.95261
FBtr0309846	1745	1574.33	819.557	14.3064
FBtr0309847	1395	1224.33	2105.08	47.2515
FBtr0309852	1525	1354.33	127.249	2.5821
FBtr0072826	3804	3633.33	239.51	1.81161
FBtr0072827	3691	3520.33	1629.49	12.7208
FBtr0310157	1118	947.331	185.974	5.39505
FBtr0088052	1136	965.331	136.079	3.87401
FBtr0088051	1139	968.331	3929.05	111.509
FBtr0310159	1172	1001.33	57.8934	1.5889
FBtr0088053	1203	1032.33	0	0
FBtr0346717	952	781.331	6.71763	0.23628
FBtr0079891	845	674.331	217.282	8.85518
FBtr0344474	4299	4128.33	0	0
FBtr0083532	4514	4343.33	0	0
FBtr0346161	5221	5050.33	0	0
FBtr0071041	1576	1405.33	472	9.23016
FBtr0077956	2701	2530.33	584	6.3428
FBtr0089196	4376	4205.33	190.818	1.24699
FBtr0347405	3401	3230.33	43.9074	0.373539
FBtr0347406	2744	2573.33	0	0
FBtr0347403	2371	2200.33	167.093	2.08696
FBtr0347404	2744	2573.33	0	0
FBtr0310632	2638	2467.33	230.054	2.56241
FBtr0073263	2209	2038.33	1468.95	19.8051
FBtr0303268	3265	3094.33	0	0
FBtr0304931	2190	2019.33	211.023	2.8719
FBtr0080956	2066	1895.33	7757.98	112.489
FBtr0072921	1840	1669.33	13.2973	0.21891
FBtr0344219	1882	1711.33	0	0
FBtr0072922	1721	1550.33	0	0
FBtr0072923	1903	1732.33	19.7027	0.312565
FBtr0100373	1180	1009.33	0	0
FBtr0303785	1569	1398.33	0	0
FBtr0088376	2115	1944.33	2.01854	0.0285307
FBtr0339111	468	297.363	0	0
FBtr0071106	2301	2130.33	8	0.103202
FBtr0339337	2506	2335.33	50.4722	0.59395
FBtr0088710	2464	2293.33	856.528	10.2641
FBtr0302954	501	330.363	0	0
FBtr0110781	1248	1077.33	20	0.510184
FBtr0075989	3238	3067.33	1.5	0.0134393
FBtr0330069	3238	3067.33	1.5	0.0134393
FBtr0304717	947	776.331	33	1.16819
FBtr0339472	2820	2649.33	69.6688	0.722683
FBtr0339471	2953	2782.33	1396.33	13.7919
FBtr0085326	4103	3932.33	1548	10.8185
FBtr0336764	4091	3920.33	2.33509e-05	1.63691e-07
FBtr0073651	2625	2454.33	0	0
FBtr0334905	538	367.363	0	0
FBtr0083540	1549	1378.33	0	0
FBtr0342877	3401	3230.33	2020.57	17.1898
FBtr0074647	2146	1975.33	2938.43	40.881
FBtr0273265	1700	1529.33	0	0
FBtr0073923	2894	2723.33	1144	11.5444
FBtr0091899	413	242.363	39.9031	4.52466
FBtr0078309	627	456.348	1295	77.9864
FBtr0339941	1519	1348.33	2.16593	0.0441461
FBtr0071880	1017	846.331	6.83407	0.221914
FBtr0076069	2148	1977.33	0	0
FBtr0085482	1927	1756.33	8221	128.636
FBtr0074901	627	456.348	74.6905	4.49795
FBtr0344084	1696	1525.33	78.293	1.4106
FBtr0074900	970	799.331	47.0679	1.61824
FBtr0340479	3542	3371.33	0	0
FBtr0071410	3153	2982.33	0	0
FBtr0071412	2528	2357.33	0	0
FBtr0307382	2729	2558.33	0	0
FBtr0307381	2425	2254.33	2.99946	0.0365655
FBtr0307380	1373	1202.33	0	0
FBtr0071411	2440	2269.33	0.000536971	6.50278e-06
FBtr0070980	854	683.331	62573.7	2516.56
FBtr0345292	830	659.331	91.6596	3.8205
FBtr0070981	941	770.331	2177.07	77.6678
FBtr0070982	1100	929.331	276.92	8.18897
FBtr0070983	837	666.331	613.619	25.3078
FBtr0073693	1323	1152.33	2222	52.9923
FBtr0074984	507	336.363	1.00166	0.0818383
FBtr0073034	1539	1368.33	947	19.0197
FBtr0081676	887	716.331	0	0
